scene+act,dialogue,name,text,sentiment
11,1,roderigo,"'sblood,  but you will not hear me: if ever i did dream of such a matter, abhor me. ",0.0
11,1,iago,thou told'st me thou didst hold him in thy hate. ,-0.8
11,2,roderigo,"despise me,  if i do not.  three great ones of the city, in personal suit to make me his lieutenant, off-capped to him: and,  by the faith of man, i know my price,  i am worth no worse a place: but he,  as loving his own pride and purposes, evades them,  with a bumbast circumstancehorribly stuffed with epithets of war:and,  in conclusion,  nonsuitsmy mediators: for,  ""certes, "" says he, ""i have already chose my officer. ""and what was he? forsooth,  a great arithmetician, one michael cassio,  a florentine, a fellow almost damned in a fair wife.  that never set a squadron in the field, nor the division of a battle knowsmore than a spinster.   unless the bookish theoric, wherein the toged consuls can proposeas masterly as he: mere prattle,  without practice, is all his soldiership.  but he,  sir,  had the election:and i,  of whom his eyes had seen the proofat rhodes,  at cyprus,  and on other grounds, christian and heathen,  must be beleeed and calmedby debitor and creditor,  this counter-caster.  he,  in good time,  must his lieutenant be, and i god bless the mark! his moorship's ancient. ",0.3541666666666667
11,2,iago,"by heaven,  i rather would have been his hangman. ",0.0
11,3,roderigo,"why,  there's no remedy.   'tis the curse of service, preferment goes by letter and affection, and not by old gradation,  where each secondstood heir to the first.  now,  sir,  be judge yourselfwhether i in any just term am affinedto love the moor. ",0.2833333333333333
11,3,iago,"i would not follow him,  then. ",0.0
11,4,roderigo,"o,  sir,  content you.  i follow him to serve my turn upon him:we cannot all be masters,  nor all masterscannot be truly followed.  you shall markmany a duteous and knee-crooking knavethat,  doting on his own obsequious bondage, wears out his time,  much like his master's ass, for nought but provender.   and when he's old,  cashiered:whip me such honest knaves.  others there arewho,  trimmed in forms and visages of duty, keep yet their hearts attending on themselves.  and,  throwing but shows of service on their lords, do well thrive by them,  and when they have lined their coats, do themselves homage: these fellows have some soul.  and such a one do i profess myself.  for,  sir, it is as sure as you are roderigo, were i the moor,  i would not be iago:in following him,  i follow but myself.  heaven is my judge,  not i for love and duty, but seeming so for my peculiar end:for when my outward action doth demonstratethe native act and figure of my heartin complement extern,  'tis not long afterbut i will wear my heart upon my sleevefor daws to peck at: i am not what i am. ",0.23863636363636365
11,4,iago,"what a full fortune does the thick lips owe, if he can carry't thus!",-0.012500000000000039
11,5,roderigo,"call up her father, rouse him: make after him,  poison his delight, proclaim him in the streets.   incense her kinsmen, and,  though he in a fertile climate dwell, plague him with flies: though that his joy be joy, yet throw such changes of vexation on'tas it may lose some color. ",0.5333333333333333
11,5,iago,here is her father's house: i'll call aloud. ,0.0
11,6,roderigo,"do.   with like timorous accent and dire yellas when,  by night and negligence,  the fireis spied in populous cities. ",0.0
11,6,iago,"what,  ho,  brabantio! signior brabantio,  ho!",0.0
11,7,roderigo,"awake! what,  ho,  brabantio! thieves! thieves! thieves!look to your house,  your daughter,  and your bags!thieves! thieves!",0.0
11,7,iago,what is the reason of this terrible summons? what is the matter there? ,-1.0
11,1,brabantio,"signior,  is all your family within? ",0.0
11,8,roderigo,are your doors locked? ,0.0
11,8,iago,"why,  wherefore ask you this? ",0.0
11,2,brabantio,"zounds,  sir,  you're robbed.   for shame,  put on your gown.  your heart is burst,  you have lost half your soul.  even now,  now,  very now,  an old black ramis tupping your white ewe.  arise,  arise.  awake the snorting citizens with the bell, or else the devil will make a grandsire of you:arise,  i say. ",-0.006666666666666659
11,9,iago,"what,  have you lost your wits? ",0.0
11,3,brabantio,"most reverend signior,  do you know my voice? ",0.5
11,9,roderigo,not i.   what are you? ,0.0
11,4,brabantio,my name is roderigo. ,0.0
11,10,roderigo,"the worser welcome:i have charged thee not to haunt about my doors.  in honest plainness thou hast heard me saymy daughter is not for thee.   and now,  in madness, being full of supper and distempering draughts, upon malicious bravery dost thou cometo start my quiet. ",0.31666666666666665
11,11,roderigo,but thou must needs be suremy spirit and my place have in them powerto make this bitter to thee. ,-0.1
11,6,brabantio,"patience,  good sir. ",0.7
11,12,roderigo,what tell'st thou me of robbing?  this is venice.  my house is not a grange. ,0.0
11,7,brabantio,"most grave brabantio, in simple and pure soul i come to you. ",0.2380952380952381
11,13,roderigo,"zounds,  sir,  you are one of those that will not serve god if thedevil bid you.  because we come to do you service,  and you thinkwe are ruffians,  you'll have your daughter covered with a barbaryhorse.   you'll have your nephews neigh to you.   you'll have coursersfor cousins and gennets for germans. ",0.0
11,10,iago,what profane wretch art thou? ,0.0
11,8,brabantio,"i am one,  sir,  that comes to tell you your daughter and the moorare now making the beast with two backs. ",0.0
11,11,iago,thou art a villain. ,0.0
11,9,brabantio,you are a senator. ,0.0
11,12,iago,"this thou shalt answer.   i know thee,  roderigo. ",0.0
11,10,brabantio,"sir,  i will answer anything.  but,  i beseech you, if't be your pleasure and most wise consent,  as partly i find it is,  that your fair daughter, at this odd-even and dull watch o' the night, transported with no worse nor better guardbut with a knave of common hire,  a gondolier, to the gross clasps of a lascivious moor,  if this be known to you,  and your allowance, we then have done you bold and saucy wrongs.  but if you know not this,  my manners tell mewe have your wrong rebuke.  do not believethat,  from the sense of all civility, i thus would play and trifle with your reverence:your daughter,  if you have not given her leave,  i say again,  hath made a gross revolt.  tying her duty,  beauty,  wit,  and fortunesin an extravagant and wheeling strangerof here and everywhere.  straight satisfy yourself:if she be in her chamber or your houselet loose on me the justice of the statefor thus deluding you. ",0.15113412228796846
11,14,roderigo,"strike on the tinder,  ho!give me a taper! call up all my people! this accident is not unlike my dream:belief of it oppresses me already.  light,  i say! light!",0.5
11,11,brabantio,"farewell.   for i must leave you:it seems not meet nor wholesome to my placeto be produced,  as if i stay i shall,  against the moor: for i do know the state,  however this may gall him with some check,  cannot with safety cast him.   for he's embarkedwith such loud reason to the cyprus wars,  which even now stand in act,  that,  for their souls, another of hi1s fathom they have noneto lead their business: in which regard, though i do hate him as i do hell pains, yet,  for necessity of present life, i must show out a flag and sign of love, which is indeed but sign.  that you shall surely find him, lead to the sagittary the raised search.  and there will i be with him.  so,  farewell. ",0.04999999999999999
11,13,iago,"it is too true an evil: gone she is.  and what's to come of my despised timeis naught but bitterness.  now,  roderigo, where didst thou see her?  o unhappy girl! with the moor,  say'st thou?  who would be a father!how didst thou know 'twas she?  o,  she deceives mepast thought.  what said she to you?  get more tapers.  raise all my kindred.  are they married,  think you? ",-0.12999999999999998
11,12,brabantio,"truly,  i think they are. ",0.0
11,15,roderigo,"o heaven! how got she out?  o treason of the blood! fathers,  from hence trust not your daughters' mindsby what you see them act.  are there not charmsby which the property of youth and maidhoodmay be abused?  have you not read,  roderigo, of some such thing? ",0.0
11,13,brabantio,"yes,  sir,  i have indeed. ",0.0
11,16,roderigo,"call up my brother.  o,  would you had had her! some one way,  some another.  do you knowwhere we may apprehend her and the moor? ",0.0
11,14,brabantio,"i think i can discover him,  if you pleaseto get good guard,  and go along with me. ",0.7
11,17,roderigo,"pray you,  lead on.  at every house i'll call.  i may command at most.  get weapons,  ho!and raise some special officers of night.  on,  good roderigo: i'll deserve your pains. scene ii.  venice.  another street. ",0.5190476190476191
11,15,brabantio,"though in the trade of war i have slain men, yet do i hold it very stuff o' the conscienceto do no contrived murder: i lack iniquitysometimes to do me service: nine or ten timesi had thought to have yerked him here under the ribs. ",0.15
12,1,iago,'tis better as it is. ,0.5
